State,Site,Campaign,Season,Date,Point_no,Species,Sec_10,Sec_20,Sec_30,Sec_40,Sec_50,Sec_60,Sec_70,Sec_80,Sec_90,Sec_100,Sec_110,Sec_120,Sec_130,Sec_140,Sec_150,Sec_160,Sec_170,Sec_180,Comments
GA,EBGC,Dog_leash,B,17-May-24,1,SAND,F,F,F,F,F,F,F,F,F,F,F,F,M,F,F,F,F,F,Bike entered field during survey
NC,NWB,None,,17-May-24,1,SAND,F,F,F,F,M,M,M,M,F,F,M,M,M,F,F,M,FL,M,
NC,NWB,None,,17-May-24,2,SAND,F,F,M,F,F,F,F,F,M,M,M,M,M,M,F,F,FL,F,
NC,NWB,None,,17-May-24,2,AMOY,F,F,F,F,A,F,F,A,A,M,M,M,M,M,M,M,M,M,Part of a pair that was picking at the tideline with mild interest
NC,NWB,None,,17-May-24,3,SAND,F,F,F,A,A,F,F,F,F,F,F,F,F,M,F,F,FL,F,
NC,NWB,None,,17-May-24,4,SAND,F,F,F,M,F,a,M,M,F,F,F,F,F,F,F,F,FL,F,
NC,NWB,None,,17-May-24,4,SESA,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
NC,NWB,None,,17-May-24,4,WIPL,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,
NY,Jones,Walkers,B,18-May-24,1,AMOY,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Incubating Nest
NY,Jones,Walkers,B,18-May-24,1,PIPL,R,A,R,R,FL,R,R,R,R,R,R,R,R,R,R,R,R,R,switched incubation
NY,Jones,Walkers,B,18-May-24,2,AMOY,R,R,A,A,A,R,M,M,R,M,M,R,R,R,R,F,M,R,near wrack line
NY,Jones,Walkers,B,18-May-24,3,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
NY,Jones,Walkers,B,18-May-24,5,AMOY,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
NY,Jones,Walkers,B,18-May-24,5,SESA,F,F,F,M,F,F,FL,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,
NY,Jones,Walkers,B,18-May-24,6,SESA,F,F,F,F,F,F,FL,FL,F,F,F,F,F,F,F,F,F,F,
NY,Jones,Walkers,B,18-May-24,6,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Incubating Nest
NY,Jones,Walkers,B,18-May-24,7,SESA,F,F,F,F,A,F,F,F,F,F,F,F,FL,FL,F,F,F,F,
NY,Jones,Walkers,B,18-May-24,8,SESA,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,
NY,Jones,Walkers,B,18-May-24,9,SESA,F,M,M,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,
NY,Jones,Walkers,B,18-May-24,10,AMOY,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,
NC,NWB,None,,18-May-24,1,SAND,M,F,M,M,M,F,M,F,F,M,F,F,M,M,A,FL,F,M,2 standing people within 15m between 0:20 and 1:40
NC,NWB,None,,18-May-24,2,SAND,F,F,F,F,M,F,M,F,F,F,FL,OS,OS,OS,OS,OS,OS,OS,3 people within 20m caused bird to fly away at 1:50
NC,NWB,None,,18-May-24,4,SAND,O,O,O,O,O,O,O,M,FL,OS,OS,OS,OS,OS,OS,OS,OS,OS,Preening for the first 1:10. Flew away at 1:30
NY,Sunken,None,B,19-May-24,2,PIPL,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,Female foraging 
NY,Sunken,None,B,19-May-24,4,PIPL,F,F,F,F,F,F,F,F,F,F,FL,F,F,A,A,F,F,F,male foraging by shore
NY,Sunken,None,B,19-May-24,5,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,female incubating 
CT,Bushy Beach,None,B,21-May-24,2,PIPL,R,R,R,R,R,R,R,R,O,O,R,R,R,O,R,R,R,R,O = Preening 
CT,Bushy Beach,None,B,21-May-24,3,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,INC Nest GF_PKL
CT,Bushy Beach,None,B,21-May-24,3,AMOY,F,F,F,M,M,F,F,F,F,M,F,F,M,F,F,M,F,M,Y_ N05
CT,Bushy Beach,None,B,21-May-24,4,PIPL,R,R,M,A,A,M,M,A,M,M,A,A,M,M,R,R,R,R,INC NEST but some people in tip area 
CT,Housatonic: Milford Shoreline,Walkers,B,21-May-24,7,PIPL,M,R,R,FL,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,
CT,Housatonic: Milford Shoreline,Walkers,B,21-May-24,8,PIPL,M,M,F,F,M,F,M,F,R,F,M,F,M,F,M,F,M,F,
CT,Housatonic: Milford Shoreline,Walkers,B,21-May-24,8,AMOY,F,F,FL,F,M,F,M,F,F,M,O,O,O,R,R,R,O,O,O = Preening
CT,Housatonic: Milford Point,Walkers,B,21-May-24,5,SESA,M,M,F,M,FL,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,
CT,Housatonic: Milford Point,Walkers,B,21-May-24,5,PIPL,M,M,O,R,R,F,M,R,F,M,M,M,F,F,R,M,R,R,O = Preening
CT,Housatonic: Milford Point,Walkers,B,21-May-24,5,AMOY,O,O,R,R,R,O,O,O,O,O,R,R,O,R,O,O,O,O,O = Preening
CT,Housatonic: Milford Point,Walkers,B,21-May-24,6,AMOY,O,O,R,R,R,O,O,R,R,R,O,O,O,R,O,R,O,R,O = Preening
CT,Housatonic: Milford Point,Walkers,B,21-May-24,6,PIPL,M,M,R,M,F,F,F,R,R,M,R,R,F,R,F,F,R,M,
NY,TOH,Dog_free,B,21-May-24,10,AMOY,R,R,A,M,M,M,M,M,M,A,M,M,M,M,F,F,M,FL,"Guy with camera got very close to chicks at 0:30, territorial dispute with 3rd AMOY at 2:50"
NY,TOH,Dog_free,B,21-May-24,10,PIPL,M,M,A,R,R,r ,R,R,R,R,R,R,R,R,R,R,R,R,Alert because of AMOY territorial dispute and then Incubating nest
NY,TOH,Dog_free,B,21-May-24,9,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Incubating Nest
NY,TOH,Dog_free,B,21-May-24,9,AMOY,R,R,R,R,R,R,M,FL,FL,OS,OS,OS,OS,F,F,F,M,F,"Preening and vocal, flew closer to water where I could not see, I walked so that I could see over the sand mound where the AMOY was foraging on the other side at the surf"
NY,TOH,Dog_free,B,21-May-24,8,AMOY,R,R,R,R,R,R,M,M,M,M,M,M,M,M,M,R,R,R,"Preening, resting, and vocal"
NY,TOH,Dog_free,B,21-May-24,8,PIPL,F,F,F,F,F,F,F,F,M,M,FL,FL,FL,OS,OS,OS,OS,OS,Foraging at surf
NY,TOH,Dog_free,B,21-May-24,7,AMOY,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Preening then loafing
NY,TOH,Dog_free,B,21-May-24,6,AMOY,M,M,M,M,R,R,M,M,A,M,M,R,R,R,R,M,FL,FL,"Nest switch at 1:50, territorial dispute at 2:40 with third AMOY"
NY,TOH,Dog_free,B,21-May-24,6,PIPL,F,F,F,F,FL,FL,FL,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,Both flew out of sight
NY,TOH,Dog_free,B,21-May-24,5,SESA,R,R,R,F,R,R,R,R,R,R,R,R,R,R,M,M,M,M,Man ran by at 2:30
NY,TOH,Dog_free,B,21-May-24,5,AMOY,R,R,M,M,M,A,R,R,M,M,R,R,R,R,R,R,R,R,"Preening, man ran by at 0:30"
NY,TOH,Dog_free,B,21-May-24,4,PIPL,F,F,F,M,M,F,M,F,F,M,M,M,M,FL,F,A,M,F,"Woman and dog at 2:10, Man running at 0:40"
NY,TOH,Dog_free,B,21-May-24,4,SESA,F,F,F,F,M,F,F,F,F,FL,F,F,F,F,M,F,F,F,Woman walked by at 1:40
NY,TOH,Dog_free,B,21-May-24,4,AMOY,M,M,A,A,M,A,M,M,M,M,M,M,A,M,R,M,M,A,Alert and mobile because of truck
NY,TOH,Dog_free,B,21-May-24,3,AMOY,R,R,R,M,M,A,M,M,M,M,M,R,R,R,R,FL,FL,FL,
NY,TOH,Dog_free,B,21-May-24,3,SESA,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,M,F,Woman walked by at 2:50
NY,TOH,Dog_free,B,21-May-24,3,PIPL,M,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,Incubating Nest
NY,TOH,Dog_free,B,21-May-24,2,AMOY,M,M,M,R,M,F,M,M,M,M,M,M,M,M,M,R,FL,M,Walking with mate
NY,TOH,Dog_free,B,21-May-24,2,SESA,F,F,F,F,M,M,FL,F,F,F,M,F,F,F,F,F,F,F,Woman walked by at 1:00
SC,Folly Beach Lighthouse Inlet,Walkers,B,22-May-24,1,WIPL,A,A,M,A,A,FL,FL,A,M,A,A,A,M,O,O,A,O,A,
SC,Folly Beach Lighthouse Inlet,Walkers,B,22-May-24,1,SAND,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,
SC,Folly Beach Lighthouse Inlet,Walkers,B,22-May-24,2,WIPL,FL,M,M,M,FL,FL,FL,FL,FL,OS,OS,M,M,OS,OS,OS,OS,OS,
SC,Folly Beach Lighthouse Inlet,Walkers,B,22-May-24,3,AMOY,F,F,F,F,F,F,A,A,F,F,F,F,F,F,F,OS,OS,OS,
SC,Folly Beach Lighthouse Inlet,Walkers,B,22-May-24,3,BBPL,F,F,F,F,A,A,A,A,OS,OS,OS,F ,OS,F ,F ,F ,M,F ,"not a focal species, but still observed"
SC,Folly Beach Lighthouse Inlet,Walkers,B,22-May-24,3,LETE,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,FL,OS,OS,OS,"not a focal species, but still observed"
SC,Folly Beach Lighthouse Inlet,Walkers,B,22-May-24,3,PEEP,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,
SC,Folly Beach Lighthouse Inlet,Walkers,B,22-May-24,4,AMOY,F,FL,F,F,F,F,F,F,F,F,F,A,F,F,F,F,M,F,
SC,Folly Beach Lighthouse Inlet,Walkers,B,22-May-24,4,WILL,M,F ,F,F ,F,F ,F,F ,F,F ,OS,OS,OS,OS,OS,OS,OS,OS,"not a focal species, but still observed"
SC,Folly Beach Lighthouse Inlet,Walkers,B,22-May-24,4,LETE,FL,OS,OS,OS,OS,OS,OS,OS,OS,OS,FL,OS,OS,OS,OS,OS,OS,OS,"not a focal species, but still observed"
SC,Folly Beach Lighthouse Inlet,Walkers,B,22-May-24,4,RUTU,F,F,F,F,F,F,F,F,F,F,OS,OS,OS,OS,OS,OS,OS,OS,"not a focal species, but still observed"
SC,Folly Beach Lighthouse Inlet,Walkers,B,22-May-24,4,PEEP,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,
SC,Harbor Island,Dog_leash,B,22-May-24,2,SAND,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,
SC,Harbor Island,Dog_leash,B,22-May-24,3,WIPL,O,O,O,O,O,O,R,R,R,R,R,R,R,R,R,R,R,R,O=BATHING IN TIDAL POOL 
SC,Harbor Island,Dog_leash,B,22-May-24,3,SAND,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,
NC,HI,None,,22-May-24,3,PIPL,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,incubating for entire 3 mins
NC,HI,None,,22-May-24,3,SAND,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,
NC,HI,None,,22-May-24,2,AMOY,A,M,A,A,A,M,M,A,A,A,A,A,A,A,A,A,A,A,divebombed by LETE for last two minutes
NY,Far Rockaway,None,,22-May-24,3,AMOY,R,R,R,M,F,M,F,R,F,F,F,F,F,F,M,F,F,F,~200FT from truck on beach
NY,Far Rockaway,None,,22-May-24,3,SAND,M,M,F,M,F,F,F,M,M,F,F,F,M,F,M,M,F,F,
NY,Far Rockaway,None,,22-May-24,2,PIPL,M,M,R,M,M,M,R,R,M,M,M,M,F,M,M,M,F,F,3 people walking shoreline point out the PIPL
NY,Far Rockaway,None,,22-May-24,2,AMOY,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
NY,Far Rockaway,None,,22-May-24,1,AMOY,A,R,A,M,M,M,M,M,A,M,A,R,R,R,R,R,R,R,
NY,Arverne,None,,22-May-24,1,PIPL,A,A,A,R,M,M,M,R,F,M,M,M,A,M,F,M,M,M,Chased by gull 
NY,Arverne,None,,22-May-24,1,AMOY,M,A,A,A,M,M,A,M,M,M,M,R,R,R,R,R,M,M,with two chicks
NY,Arverne,None,,22-May-24,1,SAND,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
NY,Arverne,None,,22-May-24,2,PIPL,F,F,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,
NY,Arverne,None,,22-May-24,2,SAND,F,M,FL,M,M,F,M,F,F,F,F,M,F,F,M,M,F,FL,
NY,Arverne,None,,22-May-24,2,AMOY,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
NY,Arverne,None,,22-May-24,3,SAND,M,M,M,M,M,M,M,M,M,M,M,M,FL,M,F,M,M,M,
NY,Arverne,None,,22-May-24,4,SAND,R,M,FL,M,M,M,R,M,M,M,F,M,M,R,M,F,M,R,
NY,Arverne,None,,22-May-24,4,AMOY,M,M,M,M,M,M,R,M,M,R,R,M,M,R,F,R,R,R,
CT,Sandy Point,None,B,23-May-24,5,PIPL,F,M,M,F,R,M,M,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,Walked around corner South of channel
CT,Sandy Point,None,B,23-May-24,6,PIPL,F,M,R,M,R,F,F,M,R,R,M,M,R,R,R,R,R,R,P14 Female
CT,Sandy Point,None,B,23-May-24,6,SESA,F,M,F,F,M,R,M,R,R,R,M,F,M,M,M,M,M,R,
CT,Sandy Point,None,B,23-May-24,7,PIPL,F,F,R,F,R,O,O,O,O,O,O,O,O,R,R,R,R,R,O = Copulating
CT,Sandy Point,None,B,23-May-24,8,PIPL,M,M,R,R,M,F,R,R,M,R,M,F,F,F,R,R,M,F,
CT,Sandy Point,None,B,23-May-24,8,AMOY,F,F,F,F,M,M,M,F,R,F,F,A,F,R,F,F,R,FL,A = Bothered by WILL 
CT,Sandy Point,None,B,23-May-24,8,SESA,F,M,M,M,M,F,R,M,M,F,F,M,F,R,M,M,M,M,
NY,Jones,Walkers,B,23-May-24,1,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Incubating Nest
NY,Jones,Walkers,B,23-May-24,1,AMOY,R,R,A,A,A,A,FL,FL,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,airshow plane flying low to beach
NY,Jones,Walkers,B,23-May-24,2,AMOY,R,R,R,R,R,R,R,R,M,M,F,F,F,F,F,F,M,F,
NY,Jones,Walkers,B,23-May-24,3,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Incubating Nest
NY,Jones,Walkers,B,23-May-24,5,AMOY,R,R,R,R,R,R,R,R,M,M,M,M,FL,FL,FL,OS,OS,OS,airshow planes flying by
NC,NWB,None,,23-May-24,1,SAND,F,F,F,F,F,F,F,F,F,F,F,OS,M,F,M,F,M,F,
CT,Long Beach,Walkers,B,24-May-24,6,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,INC NEST
CT,Long Beach,Walkers,B,24-May-24,5,SAND,M,F,M,A,A,M,M,F,M,M,F,M,OS,OS,OS,OS,OS,OS,
CT,Long Beach,Walkers,B,24-May-24,5,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,INC NEST
CT,Long Beach,Walkers,B,24-May-24,4,SAND,O,O,R,R,R,R,O,O,O,O,O,O,O,O,O,O,R,O,O = PREENING
CT,Long Beach,Walkers,B,24-May-24,4,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
